Mission,Buoy_ids,Starttime,Endtime
Beaufort Sea Aug 2025, 073 082 087 099, 2025-08-16T21:00:00, None
ArcticAIR May 2025, 161 163 165 169, 2025-05-22T00:00:00, None
Around the Americas One Ocean, 167 168, 2025-05-22T00:00:00, None
Arctic PISCES 2025, 112 113 114 115 116 117 118 119 120 122, 2025-04-08T03:00:00, None
ArcticAIR Sep 2024, 089 090 091 093 094 096 107 108 109 110 111, 2024-09-08T00:00:00, None
Hurricane Milton 2024, 078 079 106, 2024-10-07T15:00:00, 2024-10-00T15:00:00
Hurricane Helene 2024, 106, 2024-09-24T00:00:00, 2024-09-30T00:00:00
Hurricane Francene 2024, 087 098 099 101, 2024-09-09T00:00:00, 2024-09-10T00:00:00
ArcticAIR June 2024, 040 041 065 077 080 082, 2024-06-01T00:00:00, None
Mid-Altantic Jan 2024, 032 080 082, 2024-01-20T00:00:00, None
Bering Sea Jan 2024, 042, 2024-01-10T00:00:00, None
North Pacific Feb 2024, 069 070, 2024-02-01T00:00:00, None
ArcticAIR Sep 2023, 022 035 038 039, 2023-09-01T00:00:00, None
Hurricane Lee 2023, 030 041 050 065, 2024-09-01T00:00:00, None 
Hurricane Idalia 2023, 029 030 037 046 048, 2023-08-28T00:00:00, 2023-09-15T00:00:00
ArcticAIR Jun 2023, 007 008 012 021, 2023-06-01T00:00:00, None 